Superman/Batman, relationship, 9439
Clark Kent, character, 28188
Bruce Wayne, character, 70115
Alfred Pennyworth, character, 23686
Jonathan Kent, character, 6715
Martha Kent, character, 2556
Thomas Wayne, character, 882
Martha Wayne, character, 747
Helena Bertinelli/Dinah Lance, relationship, 284
Helena Bertinelli, character, 1491
Dinah Lance, character, 2890
Renee Montoya, character, 858
Harley Quinn, character, 8413
some ouchies in this, freeform, 0
and hurt/comfort, freeform, 881891
and a bit fluff, freeform, 2069705
and a bit of angst, freeform, 233694
cause I'm me lol, freeform, 0
more harmless than the canon violence I think though, freeform, 0
Original Female Character & Original Male Character, relationship, 2081
Original Characters, character, 690193
Artemisia I of Caria, character, 30
Various Character(s), character, 321
Minor Characters, character, 19638
Darkseid (DCU), character, 279
Background & Cameo Characters, character, 22287
Self-Insert, freeform, 14314
Black Male Character, freeform, 204
Black Character(s), freeform, 3294
Blondes, freeform, 0
Male-Female Friendship, freeform, 27041
Interracial Relationship, freeform, 3191
Sequel, freeform, 9922
Superheroes, freeform, 26323
Supervillains, freeform, 1427
Superpowers, freeform, 26254
Weapons, freeform, 70911
Swords, freeform, 9499
Fights, freeform, 47843
Epic Battles, freeform, 1149
Original Character(s), freeform, 115583
Original Character-centric, freeform, 4991
Major Original Character(s), freeform, 5995
Out of Character, freeform, 70274
2020s, freeform, 458
Alternate Universe - Modern Setting, freeform, 292308
Alternate Universe, freeform, 1918115
Magic-Users, freeform, 31970
Magic, freeform, 156727
Heroes & Heroines, freeform, 45426
Villains, freeform, 23414
Good versus Evil, freeform, 707
Planets, freeform, 2961
Interplanetary Travel, freeform, 986
Space Opera, freeform, 3950
Science Fiction, freeform, 38996
Fantasy, freeform, 129065
High Fantasy, freeform, 1631
Urban Fantasy, freeform, 7474
Action/Adventure, freeform, 101425
Action, freeform, 28996
Violence, freeform, 472487
Clark Kent/Bruce Wayne, relationship, 9439
Conner Kent, character, 10563
Bottom Clark Kent, freeform, 549
somewhere in time parody, freeform, 0
Batman(Robert Pattinson) / Superman (Henry Cavill), freeform, 0
Roy Harper/Jason Todd, relationship, 2356
Tim Drake/Kon-El | Conner Kent, relationship, 4291
Jason Todd, character, 52625
Roy Harper, character, 10997
Koriand'r (DCU), character, 6161
Kon-El | Conner Kent, character, 10563
Tim Drake, character, 42998
Barbara Gordon, character, 12193
Hurt/Comfort, freeform, 881891
Emotional Hurt/Comfort, freeform, 239651
Found Family, freeform, 111037
Alternate Timelines, freeform, 7242
Tim Drake/Ra's al Ghul, relationship, 400
Ra's al Ghul, character, 3161
Alpha/Beta/Omega Dynamics, freeform, 142571
Omega Tim Drake, freeform, 509
Alpha Ra's al Ghul, freeform, 67
Induced heats, freeform, 0
Drug-Induced Sex, freeform, 1434
Kidnapping, freeform, 73939
Obsession, freeform, 14024
Unhealthy Relationships, freeform, 38835
Emotional Manipulation, freeform, 31497
Ra's being Ra's I guess, freeform, 0
This Is Why We Can't Have Nice Things, freeform, 8829
Older Man/Younger Man, freeform, 5287
no beta we die like jason todd, freeform, 265893
Astra/Alex Danvers, relationship, 1323
Alex Danvers, character, 22164
Astra (Supergirl TV 2015), character, 1773
Alternate Universe - Canon Divergence, freeform, 470470
Astra (Supergirl TV 2015) Lives, freeform, 204
Established Relationship, freeform, 447029
Fluff, freeform, 2069751
Oswald Cobblepot/Edward Nygma, relationship, 4941
Oswald Cobblepot, character, 8133
Edward Nygma, character, 10457
Post-Finale, freeform, 4381
Fix-It, freeform, 146299
Set during the limo episode, freeform, 0
like the title says, freeform, 0
Smut, freeform, 606154
PWP, freeform, 238930
Praise Kink, freeform, 76540
Weight Issues, freeform, 1897
body issues, freeform, 7371
Injury issues, freeform, 0
Age Issues, freeform, 0
yes cobblepot has them all, freeform, 0
Body Worship, freeform, 24409
lil bit of angst, freeform, 233694
Hand Jobs, freeform, 103129
Touch-Starved, freeform, 24557
Episode: s05e12 The Beginning, freeform, 0
Sara Lance, character, 12141
Oliver Queen, character, 21207
Felicity Smoak, character, 14568
Not Beta Read, freeform, 265893
Self-Reflection, freeform, 6116
Kinda, freeform, 0
Inner Dialogue, freeform, 2387
Fear of Death, freeform, 3154
Fear, freeform, 24516
Short, freeform, 85040
How Do I Tag, freeform, 90085
I Don't Even Know, freeform, 32492
Bad Ending, freeform, 8260
Headcanon, freeform, 27626
Dialogue Light, freeform, 1936
Short One Shot, freeform, 62346
Wordcount: 100-1.000, freeform, 7212
Dick Grayson & Jason Todd, relationship, 5391
Jason Todd & Bruce Wayne, relationship, 5088
Dick Grayson & Bruce Wayne, relationship, 4810
Dick Grayson, character, 60934
Alternative Perspective, freeform, 1736
Hurt No Comfort, freeform, 75951
Emotional Hurt, freeform, 32242
Crying, freeform, 75493
Tears, freeform, 7958
Character Death, freeform, 277334
Sad Ending, freeform, 26621
Father-Son Relationship, freeform, 24136
Father Figures, freeform, 3561
Hurt Dick Grayson, freeform, 2205
Hurt Jason Todd, freeform, 1303
Jason Todd Needs A Hug, freeform, 3264
Brothers, freeform, 36355
Original Character, character, 690193
Joker, character, 14798
Original Female Character, character, 257354
Cassandra Cain & Damian Wayne, relationship, 316
Dick Grayson & Damian Wayne, relationship, 3773
Batfamily Members, character, 2470
I swear, freeform, 0
Wally West, character, 11520
Original Female Character(s), character, 257354
Hal Jordan, character, 5018
Carol Ferris, character, 295
Guy Gardner, character, 798
Barry Allen, character, 24432
Iris West, character, 10120
Kaldur'ahm (DCU), character, 2702
Arthur Curry (DCU), character, 2401
Artemis Crock, character, 4330
J'onn J'onzz, character, 7113
M'gann M'orzz, character, 3646
Friends to Lovers, freeform, 219365
Slow Burn, freeform, 228482
Team Bonding, freeform, 7863
Alien Culture, freeform, 3743
Post-Traumatic Stress Disorder - PTSD, freeform, 125725
Implied/Referenced Child Abuse, freeform, 84685
Fluff and Angst, freeform, 321414
Romance, freeform, 595935
Eventual Romance, freeform, 53128
Teen Romance, freeform, 19814
First Love, freeform, 18896
Other Additional Tags to Be Added, freeform, 212287
Clark Kent/Lois Lane, relationship, 3381
Lois Lane, character, 6899
Lex Luthor, character, 8858
Lana Lang, character, 1233
Chloe Sullivan, character, 2113
Friendship, freeform, 657399
Canon Related, freeform, 125506
Love, freeform, 577255
John Diggle, character, 6470
Thea Queen, character, -2
Steve Rogers, character, 196765
Natasha Romanov (Marvel), character, 123804
Tony Stark, character, 195360
Pepper Potts, character, 47890
James "Rhodey" Rhodes, character, 25590
Sam Wilson (Marvel), character, 60070
Thor (Marvel), character, 70410
James "Bucky" Barnes, character, 145357
